DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121150,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121190,EXPQNT,2024,80837797
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121190,EXPVAL,2024,5004531
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121190,IMPQNT,2024,570341387
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121190,IMPVAL,2024,3261920
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121190,PRODQNT,2024,35679375000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121190,PRODVAL,2024,171223466
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121190,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121210,EXPQNT,2024,76125760
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121210,EXPVAL,2024,3281949
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121210,IMPQNT,2024,1544795187
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121210,IMPVAL,2024,21223111
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121210,PRODQNT,2024,32161691000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121210,PRODVAL,2024,368845975
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121210,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121235,EXPQNT,2024,895206
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121235,EXPVAL,2024,108393
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121235,IMPQNT,2024,149426046
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121235,IMPVAL,2024,2350531
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121235,PRODQNT,2024,37566799000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121235,PRODVAL,2024,397349157
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121235,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121240,EXPQNT,2024,1823230138
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121240,EXPVAL,2024,15945237
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121240,IMPQNT,2024,2813165508
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121240,IMPVAL,2024,50898835
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121240,PRODQNT,2024,17535723000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121240,PRODVAL,2024,189847880
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121240,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121250,EXPQNT,2024,7986538
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121250,EXPVAL,2024,2971207
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121250,IMPQNT,2024,295697024
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121250,IMPVAL,2024,34664494
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121250,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121250,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121250,QNTUNIT,2024,kg
